Genre,Anime,Score,Eps,Link
Action,Cowboy Bebop,8.75,26,https://myanimelist.net/anime/1/Cowboy_Bebop
Action,Cowboy Bebop: Tengoku no Tobira,8.38,1,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira
Action,Trigun,8.22,26,https://myanimelist.net/anime/6/Trigun
Action,Witch Hunter Robin,7.24,26,https://myanimelist.net/anime/7/Witch_Hunter_Robin
Action,Bouken Ou Beet,6.93,52,https://myanimelist.net/anime/8/Bouken_Ou_Beet
Action,Initial D Fourth Stage,8.17,24,https://myanimelist.net/anime/18/Initial_D_Fourth_Stage
Action,Naruto,8.01,220,https://myanimelist.net/anime/20/Naruto
Action,One Piece,8.73,Unknown,https://myanimelist.net/anime/21/One_Piece
Action,Sunabouzu,7.36,24,https://myanimelist.net/anime/25/Sunabouzu
Action,Trinity Blood,7.28,24,https://myanimelist.net/anime/27/Trinity_Blood
Action,Zipang,7.49,26,https://myanimelist.net/anime/29/Zipang
Action,Shinseiki Evangelion,8.36,26,https://myanimelist.net/anime/30/Shinseiki_Evangelion
Action,Shinseiki Evangelion Movie: Shi to Shinsei,7.48,1,https://myanimelist.net/anime/31/Shinseiki_Evangelion_Movie__Shi_to_Shinsei
Action,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,1,https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni
Action,Kenpuu Denki Berserk,8.6,25,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
Action,Koukaku Kidoutai,8.27,1,https://myanimelist.net/anime/43/Koukaku_Kidoutai
Action,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.7,4,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
Action,Rurouni Kenshin: Meiji Kenkaku Romantan,8.28,94,https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
Action,Akira,8.16,1,https://myanimelist.net/anime/47/Akira
Action,Tenshi Kinryouku,6.24,3,https://myanimelist.net/anime/51/Tenshi_Kinryouku
Action,Appleseed (Movie),7.05,1,https://myanimelist.net/anime/54/Appleseed_Movie
Action,Arc the Lad,6.48,26,https://myanimelist.net/anime/55/Arc_the_Lad
Action,Blue Gender,7.01,26,https://myanimelist.net/anime/58/Blue_Gender
Action,Chrno Crusade,7.6,24,https://myanimelist.net/anime/60/Chrno_Crusade
Action,D.N.Angel,7.16,26,https://myanimelist.net/anime/61/DNAngel
Adventure,Trigun,8.22,26,https://myanimelist.net/anime/6/Trigun
Adventure,Bouken Ou Beet,6.93,52,https://myanimelist.net/anime/8/Bouken_Ou_Beet
Adventure,Naruto,8.01,220,https://myanimelist.net/anime/20/Naruto
Adventure,One Piece,8.73,Unknown,https://myanimelist.net/anime/21/One_Piece
Adventure,Sunabouzu,7.36,24,https://myanimelist.net/anime/25/Sunabouzu
Adventure,Kenpuu Denki Berserk,8.6,25,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
Adventure,.hack//Sign,6.94,26,https://myanimelist.net/anime/48/hack__Sign
Adventure,Arc the Lad,6.48,26,https://myanimelist.net/anime/55/Arc_the_Lad
Adventure,Avenger,5.85,13,https://myanimelist.net/anime/56/Avenger
Adventure,Blue Gender,7.01,26,https://myanimelist.net/anime/58/Blue_Gender
Adventure,Black Cat,7.31,23,https://myanimelist.net/anime/68/Black_Cat
Adventure,Kidou Senshi Gundam: Dai 08 MS Shoutai,8,12,https://myanimelist.net/anime/81/Kidou_Senshi_Gundam__Dai_08_MS_Shoutai
Adventure,Kidou Senshi Gundam 0083: Stardust Memory,7.22,13,https://myanimelist.net/anime/84/Kidou_Senshi_Gundam_0083__Stardust_Memory
Adventure,Kidou Shinseiki Gundam X,7.33,39,https://myanimelist.net/anime/92/Kidou_Shinseiki_Gundam_X
Adventure,Turn A Gundam,7.79,50,https://myanimelist.net/anime/95/Turn_A_Gundam
Adventure,Last Exile,7.78,26,https://myanimelist.net/anime/97/Last_Exile
Adventure,Akazukin Chacha,7.41,74,https://myanimelist.net/anime/103/Akazukin_Chacha
Adventure,Ayashi no Ceres,7.17,24,https://myanimelist.net/anime/104/Ayashi_no_Ceres
Adventure,Ou Dorobou Jing,7.17,13,https://myanimelist.net/anime/107/Ou_Dorobou_Jing
Adventure,Ou Dorobou Jing in Seventh Heaven,7.23,3,https://myanimelist.net/anime/108/Ou_Dorobou_Jing_in_Seventh_Heaven
Adventure,Bakuretsu Tenshi,6.77,24,https://myanimelist.net/anime/109/Bakuretsu_Tenshi
Adventure,Corrector Yui,6.86,52,https://myanimelist.net/anime/111/Corrector_Yui
Adventure,Chou Henshin Cosprayers,4.83,8,https://myanimelist.net/anime/112/Chou_Henshin_Cosprayers
Adventure,Ijigen no Sekai El-Hazard,6.77,13,https://myanimelist.net/anime/115/Ijigen_no_Sekai_El-Hazard
Adventure,Shinpi no Sekai El-Hazard (TV),6.93,26,https://myanimelist.net/anime/116/Shinpi_no_Sekai_El-Hazard_TV
Avant Garde,Texhnolyze,7.75,22,https://myanimelist.net/anime/26/Texhnolyze
Avant Garde,Shinseiki Evangelion,8.36,26,https://myanimelist.net/anime/30/Shinseiki_Evangelion
Avant Garde,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,1,https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni
Avant Garde,FLCL,8.04,6,https://myanimelist.net/anime/227/FLCL
Avant Garde,Mousou Dairinin,7.66,13,https://myanimelist.net/anime/323/Mousou_Dairinin
Avant Garde,Serial Experiments Lain,8.09,13,https://myanimelist.net/anime/339/Serial_Experiments_Lain
Avant Garde,Boogiepop wa Warawanai,7.15,12,https://myanimelist.net/anime/369/Boogiepop_wa_Warawanai
Avant Garde,Perfect Blue,8.55,1,https://myanimelist.net/anime/437/Perfect_Blue
Avant Garde,Shoujo Kakumei Utena: Adolescence Mokushiroku,7.68,1,https://myanimelist.net/anime/441/Shoujo_Kakumei_Utena__Adolescence_Mokushiroku
Avant Garde,Nekojiru-sou,7.32,1,https://myanimelist.net/anime/601/Nekojiru-sou
Avant Garde,Mind Game,7.79,1,https://myanimelist.net/anime/875/Mind_Game
Avant Garde,Tenshi no Tamago,7.71,1,https://myanimelist.net/anime/885/Tenshi_no_Tamago
Avant Garde,Atama Yama,6.36,1,https://myanimelist.net/anime/1370/Atama_Yama
Avant Garde,Kemonozume,7.34,13,https://myanimelist.net/anime/1454/Kemonozume
Avant Garde,Kaze no Na wa Amnesia,6.3,1,https://myanimelist.net/anime/1793/Kaze_no_Na_wa_Amnesia
Avant Garde,Paprika,8.04,1,https://myanimelist.net/anime/1943/Paprika
Avant Garde,X Densha de Ikou,5.81,1,https://myanimelist.net/anime/1973/X_Densha_de_Ikou
Avant Garde,Tobira wo Akete (1995),6.01,1,https://myanimelist.net/anime/1979/Tobira_wo_Akete_1995
Avant Garde,Memory,6,1,https://myanimelist.net/anime/1984/Memory
Avant Garde,Tamala 2010: A Punk Cat in Space,6.04,1,https://myanimelist.net/anime/2033/Tamala_2010__A_Punk_Cat_in_Space
Avant Garde,Ryokunohara Labyrinth: Sparkling Phantom,4.91,1,https://myanimelist.net/anime/2219/Ryokunohara_Labyrinth__Sparkling_Phantom
Avant Garde,Koroshiya 1 The Animation: Episode 0,5.63,1,https://myanimelist.net/anime/2346/Koroshiya_1_The_Animation__Episode_0
Avant Garde,Tsukuyomi: Moon Phase Special,6.61,1,https://myanimelist.net/anime/2580/Tsukuyomi__Moon_Phase_Special
Avant Garde,Seisai,5.24,2,https://myanimelist.net/anime/2944/Seisai
Avant Garde,Kanashimi no Belladonna,7.19,1,https://myanimelist.net/anime/3220/Kanashimi_no_Belladonna
Award Winning,Cowboy Bebop,8.75,26,https://myanimelist.net/anime/1/Cowboy_Bebop
Award Winning,Shinseiki Evangelion,8.36,26,https://myanimelist.net/anime/30/Shinseiki_Evangelion
Award Winning,Koukaku Kidoutai,8.27,1,https://myanimelist.net/anime/43/Koukaku_Kidoutai
Award Winning,Kidou Tenshi Angelic Layer,7.26,26,https://myanimelist.net/anime/52/Kidou_Tenshi_Angelic_Layer
Award Winning,Shin Kidou Senki Gundam Wing: Endless Waltz,7.73,3,https://myanimelist.net/anime/91/Shin_Kidou_Senki_Gundam_Wing__Endless_Waltz
Award Winning,Kidou Senshi Gundam SEED,7.74,50,https://myanimelist.net/anime/93/Kidou_Senshi_Gundam_SEED
Award Winning,Turn A Gundam,7.79,50,https://myanimelist.net/anime/95/Turn_A_Gundam
Award Winning,Fullmetal Alchemist,8.11,51,https://myanimelist.net/anime/121/Fullmetal_Alchemist
Award Winning,Mononoke Hime,8.67,1,https://myanimelist.net/anime/164/Mononoke_Hime
Award Winning,RahXephon,7.37,26,https://myanimelist.net/anime/165/RahXephon
Award Winning,Sen to Chihiro no Kamikakushi,8.77,1,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
Award Winning,Kidou Senkan Nadesico: The Prince of Darkness,6.72,1,https://myanimelist.net/anime/219/Kidou_Senkan_Nadesico__The_Prince_of_Darkness
Award Winning,Gankutsuou,8.11,24,https://myanimelist.net/anime/239/Gankutsuou
Award Winning,Jungle wa Itsumo Hare nochi Guu Final,7.6,7,https://myanimelist.net/anime/255/Jungle_wa_Itsumo_Hare_nochi_Guu_Final
Award Winning,Hoshi no Koe,7.09,1,https://myanimelist.net/anime/256/Hoshi_no_Koe
Award Winning,Abenobashi Mahou☆Shoutengai,7.21,13,https://myanimelist.net/anime/306/Abenobashi_Mahou☆Shoutengai
Award Winning,Mousou Dairinin,7.66,13,https://myanimelist.net/anime/323/Mousou_Dairinin
Award Winning,Planetes,8.25,26,https://myanimelist.net/anime/329/Planetes
Award Winning,Mama wa Shougaku 4-nensei,7.32,51,https://myanimelist.net/anime/333/Mama_wa_Shougaku_4-nensei
Award Winning,Serial Experiments Lain,8.09,13,https://myanimelist.net/anime/339/Serial_Experiments_Lain
Award Winning,Cardcaptor Sakura Movie 1,7.63,1,https://myanimelist.net/anime/371/Cardcaptor_Sakura_Movie_1
Award Winning,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.21,1,https://myanimelist.net/anime/372/Cardcaptor_Sakura_Movie_2__Fuuin_Sareta_Card
Award Winning,Blood: The Last Vampire,6.87,1,https://myanimelist.net/anime/405/Blood__The_Last_Vampire
Award Winning,Tonari no Yamada-kun,7.09,1,https://myanimelist.net/anime/415/Tonari_no_Yamada-kun
Award Winning,Kurenai no Buta,7.96,1,https://myanimelist.net/anime/416/Kurenai_no_Buta
Comedy,Hachimitsu to Clover,7.98,24,https://myanimelist.net/anime/16/Hachimitsu_to_Clover
Comedy,School Rumble,7.88,26,https://myanimelist.net/anime/24/School_Rumble
Comedy,Sunabouzu,7.36,24,https://myanimelist.net/anime/25/Sunabouzu
Comedy,Yakitate!! Japan,7.91,69,https://myanimelist.net/anime/28/Yakitate_Japan
Comedy,Rurouni Kenshin: Meiji Kenkaku Romantan,8.28,94,https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
Comedy,Aa! Megami-sama!,7.28,5,https://myanimelist.net/anime/49/Aa_Megami-sama
Comedy,Aa! Megami-sama! (TV),7.31,24,https://myanimelist.net/anime/50/Aa_Megami-sama_TV
Comedy,Kidou Tenshi Angelic Layer,7.26,26,https://myanimelist.net/anime/52/Kidou_Tenshi_Angelic_Layer
Comedy,Ai Yori Aoshi,7.1,24,https://myanimelist.net/anime/53/Ai_Yori_Aoshi
Comedy,Chobits,7.39,26,https://myanimelist.net/anime/59/Chobits
Comedy,D.N.Angel,7.16,26,https://myanimelist.net/anime/61/DNAngel
Comedy,DearS,6.54,12,https://myanimelist.net/anime/63/DearS
Comedy,Azumanga Daiou The Animation,8.06,26,https://myanimelist.net/anime/66/Azumanga_Daiou_The_Animation
Comedy,Full Metal Panic!,7.59,24,https://myanimelist.net/anime/71/Full_Metal_Panic
Comedy,Full Metal Panic? Fumoffu,8.02,12,https://myanimelist.net/anime/72/Full_Metal_Panic_Fumoffu
Comedy,Gakuen Alice,7.64,26,https://myanimelist.net/anime/74/Gakuen_Alice
Comedy,Mahou Shoujo Lyrical Nanoha,7.41,13,https://myanimelist.net/anime/76/Mahou_Shoujo_Lyrical_Nanoha
Comedy,Mahou Shoujo Lyrical Nanoha A's,7.95,13,https://myanimelist.net/anime/77/Mahou_Shoujo_Lyrical_Nanoha_As
Comedy,Shuffle!,7,24,https://myanimelist.net/anime/79/Shuffle
Comedy,Kidou Senshi Gundam ZZ,6.67,47,https://myanimelist.net/anime/86/Kidou_Senshi_Gundam_ZZ
Comedy,Mai-Otome,7.27,26,https://myanimelist.net/anime/99/Mai-Otome
Comedy,Aishiteruze Baby★★,7.43,26,https://myanimelist.net/anime/102/Aishiteruze_Baby★★
Comedy,Akazukin Chacha,7.41,74,https://myanimelist.net/anime/103/Akazukin_Chacha
Comedy,Boys Be...,6.38,13,https://myanimelist.net/anime/105/Boys_Be
Comedy,Ou Dorobou Jing,7.17,13,https://myanimelist.net/anime/107/Ou_Dorobou_Jing
Drama,Witch Hunter Robin,7.24,26,https://myanimelist.net/anime/7/Witch_Hunter_Robin
Drama,Hachimitsu to Clover,7.98,24,https://myanimelist.net/anime/16/Hachimitsu_to_Clover
Drama,Initial D Fourth Stage,8.17,24,https://myanimelist.net/anime/18/Initial_D_Fourth_Stage
Drama,Monster,8.89,74,https://myanimelist.net/anime/19/Monster
Drama,Texhnolyze,7.75,22,https://myanimelist.net/anime/26/Texhnolyze
Drama,Zipang,7.49,26,https://myanimelist.net/anime/29/Zipang
Drama,Shinseiki Evangelion,8.36,26,https://myanimelist.net/anime/30/Shinseiki_Evangelion
Drama,Shinseiki Evangelion Movie: Shi to Shinsei,7.48,1,https://myanimelist.net/anime/31/Shinseiki_Evangelion_Movie__Shi_to_Shinsei
Drama,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,1,https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni
Drama,Kenpuu Denki Berserk,8.6,25,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
Drama,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.7,4,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
Drama,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,1,https://myanimelist.net/anime/46/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Ishinshishi_e_no_Chinkonka
Drama,Tenshi Kinryouku,6.24,3,https://myanimelist.net/anime/51/Tenshi_Kinryouku
Drama,Kidou Tenshi Angelic Layer,7.26,26,https://myanimelist.net/anime/52/Kidou_Tenshi_Angelic_Layer
Drama,Ai Yori Aoshi,7.1,24,https://myanimelist.net/anime/53/Ai_Yori_Aoshi
Drama,Beck,8.29,26,https://myanimelist.net/anime/57/Beck
Drama,Blue Gender,7.01,26,https://myanimelist.net/anime/58/Blue_Gender
Drama,Chobits,7.39,26,https://myanimelist.net/anime/59/Chobits
Drama,D.C.: Da Capo,6.71,26,https://myanimelist.net/anime/62/DC__Da_Capo
Drama,Rozen Maiden,7.4,12,https://myanimelist.net/anime/64/Rozen_Maiden
Drama,Rozen Maiden: Träumend,7.61,12,https://myanimelist.net/anime/65/Rozen_Maiden__Träumend
Drama,Basilisk: Kouga Ninpou Chou,7.53,24,https://myanimelist.net/anime/67/Basilisk__Kouga_Ninpou_Chou
Drama,Soukyuu no Fafner: Dead Aggressor,7.25,25,https://myanimelist.net/anime/75/Soukyuu_no_Fafner__Dead_Aggressor
Drama,Mahou Shoujo Lyrical Nanoha,7.41,13,https://myanimelist.net/anime/76/Mahou_Shoujo_Lyrical_Nanoha
Drama,Mahou Shoujo Lyrical Nanoha A's,7.95,13,https://myanimelist.net/anime/77/Mahou_Shoujo_Lyrical_Nanoha_As
Fantasy,Bouken Ou Beet,6.93,52,https://myanimelist.net/anime/8/Bouken_Ou_Beet
Fantasy,Naruto,8.01,220,https://myanimelist.net/anime/20/Naruto
Fantasy,One Piece,8.73,Unknown,https://myanimelist.net/anime/21/One_Piece
Fantasy,Trinity Blood,7.28,24,https://myanimelist.net/anime/27/Trinity_Blood
Fantasy,Kenpuu Denki Berserk,8.6,25,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
Fantasy,.hack//Sign,6.94,26,https://myanimelist.net/anime/48/hack__Sign
Fantasy,Arc the Lad,6.48,26,https://myanimelist.net/anime/55/Arc_the_Lad
Fantasy,Avenger,5.85,13,https://myanimelist.net/anime/56/Avenger
Fantasy,D.N.Angel,7.16,26,https://myanimelist.net/anime/61/DNAngel
Fantasy,Cluster Edge,6.31,25,https://myanimelist.net/anime/69/Cluster_Edge
Fantasy,Shuffle!,7,24,https://myanimelist.net/anime/79/Shuffle
Fantasy,Mai-HiME,7.4,26,https://myanimelist.net/anime/98/Mai-HiME
Fantasy,Mai-Otome,7.27,26,https://myanimelist.net/anime/99/Mai-Otome
Fantasy,Akazukin Chacha,7.41,74,https://myanimelist.net/anime/103/Akazukin_Chacha
Fantasy,Ou Dorobou Jing,7.17,13,https://myanimelist.net/anime/107/Ou_Dorobou_Jing
Fantasy,Ou Dorobou Jing in Seventh Heaven,7.23,3,https://myanimelist.net/anime/108/Ou_Dorobou_Jing_in_Seventh_Heaven
Fantasy,Chou Henshin Cosprayers,4.83,8,https://myanimelist.net/anime/112/Chou_Henshin_Cosprayers
Fantasy,Ijigen no Sekai El-Hazard,6.77,13,https://myanimelist.net/anime/115/Ijigen_no_Sekai_El-Hazard
Fantasy,Shinpi no Sekai El-Hazard (TV),6.93,26,https://myanimelist.net/anime/116/Shinpi_no_Sekai_El-Hazard_TV
Fantasy,Shinpi no Sekai El-Hazard,7.25,7,https://myanimelist.net/anime/117/Shinpi_no_Sekai_El-Hazard
Fantasy,Shinpi no Sekai El-Hazard Season 2,6.76,4,https://myanimelist.net/anime/118/Shinpi_no_Sekai_El-Hazard_Season_2
Fantasy,Fullmetal Alchemist,8.11,51,https://myanimelist.net/anime/121/Fullmetal_Alchemist
Fantasy,Fushigi Yuugi,7.61,52,https://myanimelist.net/anime/123/Fushigi_Yuugi
Fantasy,Fushigi Yuugi: Eikouden,6.79,4,https://myanimelist.net/anime/124/Fushigi_Yuugi__Eikouden
Fantasy,Gate Keepers,6.9,24,https://myanimelist.net/anime/127/Gate_Keepers
Girls Love,Mai-HiME,7.4,26,https://myanimelist.net/anime/98/Mai-HiME
Girls Love,Kannazuki no Miko,6.8,12,https://myanimelist.net/anime/143/Kannazuki_no_Miko
Girls Love,Re: Cutie Honey,7.14,3,https://myanimelist.net/anime/151/Re__Cutie_Honey
Girls Love,Maria-sama ga Miteru,7.28,13,https://myanimelist.net/anime/158/Maria-sama_ga_Miteru
Girls Love,Nageki no Kenkou Yuuryouji,6.18,3,https://myanimelist.net/anime/316/Nageki_no_Kenkou_Yuuryouji
Girls Love,Shoujo Kakumei Utena: Adolescence Mokushiroku,7.68,1,https://myanimelist.net/anime/441/Shoujo_Kakumei_Utena__Adolescence_Mokushiroku
Girls Love,Maria-sama ga Miteru: Haru,7.61,13,https://myanimelist.net/anime/444/Maria-sama_ga_Miteru__Haru
Girls Love,Yami to Boushi to Hon no Tabibito,6.5,13,https://myanimelist.net/anime/497/Yami_to_Boushi_to_Hon_no_Tabibito
Girls Love,Koutetsu Tenshi Kurumi 2,6.27,12,https://myanimelist.net/anime/555/Koutetsu_Tenshi_Kurumi_2
Girls Love,Kashimashi: Girl Meets Girl,6.61,12,https://myanimelist.net/anime/667/Kashimashi__Girl_Meets_Girl
Girls Love,Oniisama e...,7.85,39,https://myanimelist.net/anime/795/Oniisama_e
Girls Love,Strawberry Panic,7.26,26,https://myanimelist.net/anime/855/Strawberry_Panic
Girls Love,Simoun,7.41,26,https://myanimelist.net/anime/879/Simoun
Girls Love,Stainless Night,6.08,2,https://myanimelist.net/anime/1407/Stainless_Night
Girls Love,Fushigi no Kuni no Miyuki-chan,5.63,2,https://myanimelist.net/anime/1496/Fushigi_no_Kuni_no_Miyuki-chan
Girls Love,Kashimashi: Girl Meets Girl - Shoujo wa Shoujo ni Koi wo Shita,6.75,1,https://myanimelist.net/anime/1654/Kashimashi__Girl_Meets_Girl_-_Shoujo_wa_Shoujo_ni_Koi_wo_Shita
Girls Love,Maria-sama ga Miteru 3rd,7.79,5,https://myanimelist.net/anime/1729/Maria-sama_ga_Miteru_3rd
Girls Love,Ice,5.27,3,https://myanimelist.net/anime/2169/Ice
Girls Love,Hen,5.01,2,https://myanimelist.net/anime/2317/Hen
Girls Love,G-Taste,5.82,7,https://myanimelist.net/anime/2530/G-Taste
Girls Love,Maria-sama ga Miteru 3rd Specials,7.25,5,https://myanimelist.net/anime/2954/Maria-sama_ga_Miteru_3rd_Specials
Girls Love,Utsukushiki Sei no Dendoushi Reirei,5.45,2,https://myanimelist.net/anime/2959/Utsukushiki_Sei_no_Dendoushi_Reirei
Girls Love,Blue Drop: Tenshi-tachi no Gikyoku,6.66,13,https://myanimelist.net/anime/2964/Blue_Drop__Tenshi-tachi_no_Gikyoku
Girls Love,Mnemosyne: Mnemosyne no Musume-tachi,7.23,6,https://myanimelist.net/anime/3342/Mnemosyne__Mnemosyne_no_Musume-tachi
Girls Love,Candy☆Boy: Side Story For Archive,6.75,1,https://myanimelist.net/anime/3456/Candy☆Boy__Side_Story_For_Archive
Gourmet,Yakitate!! Japan,7.91,69,https://myanimelist.net/anime/28/Yakitate_Japan
Gourmet,Chuuka Ichiban!,7.6,52,https://myanimelist.net/anime/110/Chuuka_Ichiban
Gourmet,Kogepan,6.77,10,https://myanimelist.net/anime/580/Kogepan
Gourmet,Cardcaptor Sakura: Kero-chan ni Omakase!,7.32,1,https://myanimelist.net/anime/1078/Cardcaptor_Sakura__Kero-chan_ni_Omakase
Gourmet,Oishinbo,6.99,136,https://myanimelist.net/anime/1093/Oishinbo
Gourmet,Bartender,7.32,11,https://myanimelist.net/anime/1589/Bartender
Gourmet,Dae Jang Geum: Jang Geum's Dream,7.24,26,https://myanimelist.net/anime/1778/Dae_Jang_Geum__Jang_Geums_Dream
Gourmet,Kakutou Ryouri Densetsu Bistro Recipe,6.02,26,https://myanimelist.net/anime/2287/Kakutou_Ryouri_Densetsu_Bistro_Recipe
